2025-11-08 16:17:58 | TOKEN:  | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: API Call failed after 3 attempts to: http://localhost/SaccusSalis/backend/transactions/ewallet_cashout.php
2025-11-08 16:18:01 | TOKEN:  | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: API Call failed after 3 attempts to: http://localhost/SaccusSalis/backend/transactions/ewallet_cashout.php
2025-11-08 16:18:04 | TOKEN:  | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: API Call failed after 3 attempts to: http://localhost/SaccusSalis/backend/transactions/ewallet_cashout.php
2025-11-08 16:30:43 | TOKEN:  | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: Step 1 (Cashout) failed: Invalid token
2025-11-09 06:23:41 | TOKEN:  | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: Step 1 (Cashout) failed: Invalid token
2025-11-09 06:35:12 | TOKEN:  | TYPE: TOKEN_MISSING | AMT:  | EXT_ID:  | DETAILS: No token provided in request
2025-11-09 06:40:24 | TOKEN:  | TYPE: TOKEN_MISSING | AMT:  | EXT_ID:  | DETAILS: No token provided in request
2025-11-09 06:43:59 | TOKEN:  | TYPE: TOKEN_MISSING | AMT:  | EXT_ID:  | DETAILS: No token provided in request
2025-11-09 06:53:19 | TOKEN:  | TYPE: TOKEN_MISSING | AMT:  | EXT_ID:  | DETAILS: No token provided in request
2025-11-09 06:55:22 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: Step 1 (Cashout) failed: Invalid token
2025-11-09 06:55:22 | TOKEN: +26770000001 | TYPE: SWAP_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 (Cashout) failed: Invalid token
2025-11-09 07:04:28 | TOKEN: +26770000001 | TYPE: SWAP_FAIL | AMT: 50 | EXT_ID: N/A | DETAILS: Unable to auto-map preatm_to_preatm: check from/to participants
2025-11-09 08:16:55 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: Step 1 (Cashout) failed: Invalid token
2025-11-09 08:29:10 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Swap failed at Step 1: Step 1 (Cashout) failed: Invalid token
2025-11-09 08:49:06 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: PIN and recipient phone required
2025-11-09 09:00:32 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: PIN and recipient phone required
2025-11-09 09:04:05 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-09 09:05:56 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-09 09:10:34 | TOKEN: +26770000001 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-10 22:40:04 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-10 23:47:01 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-10 23:50:00 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-11 00:55:59 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: PIN expired
2025-11-11 00:57:17 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'redeemed_at' in 'field list'
2025-11-11 01:00:40 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'redeemed_by' in 'field list'
2025-11-11 01:02:33 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[22007]: Invalid datetime format: 1366 Incorrect integer value: 'API_USER' for column `saccussalis`.`transactions`.`user_id` at row 1
2025-11-11 01:05:32 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[22007]: Invalid datetime format: 1366 Incorrect integer value: 'API_USER' for column `saccussalis`.`transactions`.`user_id` at row 1
2025-11-11 01:06:25 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[22007]: Invalid datetime format: 1366 Incorrect integer value: 'API_USER' for column `saccussalis`.`transactions`.`user_id` at row 1
2025-11-11 01:10:10 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[22007]: Invalid datetime format: 1366 Incorrect integer value: 'API_USER' for column `saccussalis`.`transactions`.`user_id` at row 1
2025-11-11 01:16:42 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[22007]: Invalid datetime format: 1366 Incorrect integer value: 'API_USER' for column `saccussalis`.`transactions`.`user_id` at row 1
2025-11-11 01:25:03 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid response
2025-11-11 01:27:56 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid response
2025-11-11 01:29:27 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 50 | EXT_ID:  | DETAILS: Step 1 failed: Invalid response
2025-11-11 01:30:44 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: API Call failed to http://localhost/SaccusSalisbank/backend/transactions/ewallet_cashout.php — see swap_api_debug.log
2025-11-11 01:41:14 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: API Call failed to http://localhost/SaccusSalisbank/backend/transactions/ewallet_cashout.php — see swap_api_debug.log
2025-11-11 01:48:22 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: PIN already redeemed
2025-11-11 01:49:02 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: SQLSTATE[01000]: Warning: 1265 Data truncated for column 'type' at row 1
2025-11-11 01:53:35 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: API Call failed to http://localhost/SaccusSalisbank/backend/transactions/ewallet_cashout.php — see swap_api_debug.log
2025-11-11 01:54:31 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: API Call failed to http://localhost/SaccusSalisbank/backend/transactions/ewallet_cashout.php — see swap_api_debug.log
2025-11-11 01:58:44 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 02:02:51 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: PIN already redeemed
2025-11-11 02:03:28 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 02:52:22 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: PIN already redeemed
2025-11-11 02:52:56 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 02:58:10 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 03:04:53 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 03:14:41 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 03:24:36 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 03:24:38 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: PIN already redeemed
2025-11-11 06:58:29 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 07:04:12 | TOKEN: +26770000000 | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 07:18:37 | TOKEN: NO_TOKEN | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Insufficient wallet balance for cashout
2025-11-11 07:20:18 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Insufficient wallet balance for cashout
2025-11-11 07:21:02 | TOKEN: +26770000000 | TYPE: CASH_OUT_SUCCESS | AMT: 1000 | EXT_ID:  | DETAILS: ewallet -> Escrow
2025-11-11 07:25:33 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
2025-11-11 07:37:59 | TOKEN: +26770000000 | TYPE: CASH_OUT_FAIL | AMT: 1000 | EXT_ID:  | DETAILS: Step 1 failed: Invalid PIN or phone number
[2025-12-30 12:28:03] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 12:28:03] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953b7430d55a4.92281199"}
[2025-12-30 12:28:03] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953b7430d55a4.92281199","status":"failed_step1_api"}
[2025-12-30 12:35:46] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 12:35:46] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953b9128d8321.49237543"}
[2025-12-30 12:35:46] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953b9128d8321.49237543","status":"failed_step1_api"}
[2025-12-30 13:03:11] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 13:03:11] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953bf7f95e2f9.52413707"}
[2025-12-30 13:03:11] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953bf7f95e2f9.52413707","status":"failed_step1_api"}
[2025-12-30 13:08:41] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 13:08:41] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953c0c995f652.56105509"}
[2025-12-30 13:08:41] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953c0c995f652.56105509","status":"failed_step1_api"}
[2025-12-30 15:55:44] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 15:55:44] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953e7f0b0cbc4.39637837"}
[2025-12-30 15:55:44] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953e7f0b0cbc4.39637837","status":"failed_step1_api"}
[2025-12-30 15:59:12] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 15:59:12] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953e8c0313346.31277146"}
[2025-12-30 15:59:12] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953e8c0313346.31277146","status":"failed_step1_api"}
[2025-12-30 16:02:53] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:02:53] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953e99d92dd10.28207891"}
[2025-12-30 16:02:53] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953e99d92dd10.28207891","status":"failed_step1_api"}
[2025-12-30 16:05:26] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:05:26] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953ea36030923.95459671"}
[2025-12-30 16:05:26] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953ea36030923.95459671","status":"failed_step1_api"}
[2025-12-30 16:10:10] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:10:10] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953eb52a199b1.23866534"}
[2025-12-30 16:10:10] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953eb52a199b1.23866534","status":"failed_step1_api"}
[2025-12-30 16:14:50] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:14:50] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953ec6a7ab7f2.86622490"}
[2025-12-30 16:14:50] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953ec6a7ab7f2.86622490","status":"failed_step1_api"}
[2025-12-30 16:16:49] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:16:49] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953ece16bba30.39997269"}
[2025-12-30 16:16:49] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953ece16bba30.39997269","status":"failed_step1_api"}
[2025-12-30 16:21:00] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:21:00] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953eddc3b2d08.07086836"}
[2025-12-30 16:21:00] ERROR in updateSwapLedgerStatus: Database error updating ledger status. | Details: {"error":"SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input value for enum swap_status: \"failed_step1_api\"\nCONTEXT:  unnamed portal parameter $1 = '...'","ref":"swap_6953eddc3b2d08.07086836","status":"failed_step1_api"}
[2025-12-30 16:44:57] ERROR in SWAP_RESOLVER::SWAP_STATUS_NOT_FOUND: Swap Status Resolver log message | Details: {"participant":"saccussalis","identifier":"253353"}
[2025-12-30 16:44:57] ERROR in recordSwapLedger: Database error recording initial ledger entry. | Details: {"sql_error":"SQLSTATE[42703]: Undefined column: 7 ERROR:  column \"from_participant\" of relation \"swap_ledgers\" does not exist\nLINE 2:             swap_reference, from_participant, to_participant...\n                                    ^","from":"saccussalis","to":"zurubank","amount":100,"ref":"swap_6953f3799cf9c1.40135410"}
